id,price_prediction
23285,29268363.3803488
23286,9624909.616207212
23287,6073326.731673258
23288,7953853.3784964
23289,5113096.221514171
23290,6540357.031453088
23291,7369772.671742301
23292,8996659.73785379
23293,6176310.536816682
23294,4475263.35447216
23295,5793878.27692107
23296,6009208.345571231
23297,6293223.460318046
23298,7031180.668748323
23299,7825066.756778186
23300,7573316.122264462
23301,8259952.960058497
23302,3393565.7197675444
23303,4830859.216517048
23304,8015758.415449181
23305,5097417.778825613
23306,5041613.764982314
23307,6595931.93296191
23308,5897484.015394341
23309,5995524.40610008
23310,6448817.499881239
23311,5632501.1188904485
23312,7651091.119686245
23313,6183122.227467429
23314,6136198.280286738
23315,6805852.623266749
23316,7413996.729413596
23317,7986866.333660702
23318,8225157.282435843
23319,9245970.763895584
23320,10530103.379019713
23321,9145691.41318105
23322,10393318.434543684
23323,10769087.475253884
23324,11641726.486393992
23325,12435902.897870721
23326,16282455.875318417
23327,17005335.360538505
23328,16948263.181683827
23329,12200983.824131554
23330,5963698.930482908
23331,8825581.978691507
23332,10756408.87755463
23333,3781489.221374191
23334,4013165.6427994105
23335,3840590.8103561015
23336,4425122.316675116
23337,4412437.369586987
23338,4513367.961714879
23339,3650265.1126150144
23340,3889753.0634974972
23341,4848846.998803132
23342,4168927.137181856
23343,4291918.231035755
23344,5954260.11274687
23345,4394551.750975405
23346,4529870.809105498
23347,4559755.748869273
23348,4650231.428687955
23349,4766654.004411433
23350,4758450.030689738
23351,5328706.523817926
23352,4924196.316954334
23353,4940906.991154504
23354,5851960.362114497
23355,5063441.7200410245
23356,5490328.003796383
23357,123571795.1389921
23358,5874929.468148313
23359,4769132.091846419
23360,5474455.5124047585
23361,5997681.884684909
23362,5491794.994942914
23363,5338073.194179743
23364,5626880.739519694
23365,5422989.284119361
23366,5681455.539277582
23367,5666186.096882762
23368,6084688.524530728
23369,5560531.089985896
23370,5820517.2064710185
23371,5800731.372178307
23372,6424874.684272213
23373,5832491.226386275
23374,6452947.299347513
23375,6390003.566068212
23376,6018905.795146792
23377,5810550.733155366
23378,6243080.907324153
23379,6386193.42515291
23380,5609935.616534683
23381,6222578.027155272
23382,6012395.241988962
23383,6197536.356776695
23384,16732180.996061077
23385,6052534.69395522
23386,6344379.670355721
23387,5535128.514839841
23388,7533878.703503688
23389,6367911.68759215
23390,7379179.998828465
23391,6545900.192569115
23392,6895908.283451995
23393,7270332.711461484
23394,6927387.9765794175
23395,6066967.202587567
23396,6905899.880000199
23397,7098236.59735125
23398,6921776.6768455915
23399,6808944.958273657
23400,6601211.773387752
23401,6551346.182941491
23402,6904029.628817304
23403,6008264.515826066
23404,7709080.053565174
23405,6083178.148105789
23406,7838562.455790847
23407,7475197.391074094
23408,7311871.738967273
23409,7403639.667302318
23410,7271125.599471272
23411,8242946.717210073
23412,8495196.936534658
23413,8300849.45647662
23414,7801182.348899424
23415,7815029.344321489
23416,33623392.1214261
23417,8237897.511458412
23418,8004639.54376955
23419,8232175.39311471
23420,9119935.68939495
23421,8273403.398641786
23422,7392154.864587999
23423,7854006.149997595
23424,7942940.321851365
23425,7503244.95439552
23426,7935558.322643015
23427,10439702.264401918
23428,7912075.159403168
23429,9448631.058184009
23430,8760781.86906432
23431,10574308.673093712
23432,8718155.386410784
23433,9001979.50219469
23434,8718790.435721384
23435,9915142.181544347
23436,8779643.935347907
23437,8508367.970332893
23438,9349757.639749352
23439,9178018.651629157
23440,8692952.394669624
23441,10340372.481533507
23442,7322575.48510371
23443,8725146.941432852
23444,9427317.884869888
23445,8935945.135308139
23446,8262102.572092498
23447,9068049.471760128
23448,9837317.375605887
23449,8412525.679565568
23450,10016408.37168377
23451,11250442.415851345
23452,10934460.914321007
23453,11073557.281265749
23454,10287936.219666522
23455,9460771.249609701
23456,9885973.788229354
23457,10847027.110309778
23458,10041190.015904767
23459,9116312.303251365
23460,9616987.65486089
23461,10312110.978121195
23462,10531877.862327952
23463,9370480.609183831
23464,9502924.56384242
23465,9804398.999296887
23466,10222000.086892877
23467,12995499.489780448
23468,10455578.853886364
23469,43659906.701263845
23470,27390214.005987573
23471,43186088.264282465
23472,44152893.93365173
23473,13357379.123566365
23474,15424534.477583725
23475,28667207.637985833
23476,12145664.09386173
23477,8154474.526298103
23478,22493261.001452204
23479,16746765.680023892
23480,18932468.6612012
23481,26856198.54033749
23482,13595369.419333324
23483,26405506.579632156
23484,77013164.00313468
23485,11117923.604337025
23486,22952071.733017765
23487,23495528.268312305
23488,39160751.51004756
23489,9327109.398551324
23490,11136260.417276487
23491,42284758.02845984
23492,39380148.7746268
23493,39380148.7746268
23494,27431315.974054303
23495,78508198.63160086
23496,35922549.80151703
23497,10202971.364086058
23498,43714553.262525104
23499,6305447.21877399
23500,7678917.223566793
23501,8240452.88223552
23502,11238562.504439836
23503,11058650.616587186
23504,8543029.703127548
23505,9401262.280688819
23506,11399501.425005691
23507,13253080.409612909
23508,14531697.68027405
23509,15809951.668043798
23510,18873426.76485836
23511,14640269.974807901
23512,14251904.543146487
23513,12170171.393441495
23514,13844752.776549697
23515,21469500.137803167
23516,21816655.901675675
23517,17868184.417301003
23518,17740195.245300192
23519,28711558.403154124
23520,28812347.82221948
23521,40357481.58163207
23522,42013018.740125135
23523,32839770.149463717
23524,27901756.036122177
23525,61264269.76176378
23526,61426936.04620994
23527,111683383.73338604
23528,20167936.272429552
23529,8615968.393591404
23530,8100925.312849618
23531,12056465.645452546
23532,11825492.581351422
23533,60594706.339835644
23534,6345863.10427738
23535,6475867.425682484
23536,7043573.934207226
23537,8224018.332752546
23538,8435134.560005456
23539,8784122.395181665
23540,8696726.392706921
23541,8994133.047065029
23542,10836128.115415365
23543,8870021.740050886
23544,9804422.010694908
23545,10030085.876844684
23546,10976836.848309807
23547,11423084.639064018
23548,12443397.948877534
23549,12771619.209875643
23550,10675179.060283117
23551,13941802.535409639
23552,10949240.128998203
23553,10840805.024488792
23554,12693117.040314192
23555,11853987.970781252
23556,12542023.8845484
23557,15424839.505551694
23558,11636852.113333639
23559,14448795.346393732
23560,16549235.57087486
23561,15817160.668063205
23562,15793029.152283791
23563,16253634.727895277
23564,14875493.56883577
23565,16060867.421390861
23566,10268993.411227953
23567,12731692.154051268
23568,17861543.92293586
23569,17367762.54123065
